match_id,team_id,win,dragon_kills,baron_kills,tower_kills,inhibitor_kills,champion_kills,atakhan_kills,horde_kills,total_gold,total_experience
EUW1_7739591438,100,1,2,1,11,3,19,0,3,61586,74765
EUW1_7739591438,200,0,2,0,4,0,25,0,0,59093,67053
EUW1_7739518703,100,1,3,1,6,0,44,0,3,79135,95470
EUW1_7739518703,200,0,1,1,5,0,19,0,0,71457,84069
EUW1_7739405888,100,1,4,0,5,0,24,0,3,51912,59591
EUW1_7739405888,200,0,0,0,2,0,23,0,0,45031,52262
EUW1_7739302156,100,0,1,0,4,0,19,0,0,60816,74622
EUW1_7739302156,200,1,3,1,9,1,29,0,3,70567,86627
EUW1_7740355588,100,0,0,0,3,0,18,0,1,49715,55262
EUW1_7740355588,200,1,3,1,8,1,34,0,2,59177,67975
EUW1_7740214083,100,1,3,2,11,2,51,0,3,78892,94730
EUW1_7740214083,200,0,1,0,5,0,35,0,0,66796,71444
EUW1_7736867197,100,0,4,2,10,1,45,0,0,86112,107038
EUW1_7736867197,200,1,2,1,9,2,50,0,3,92297,113142
EUW1_7736857449,100,0,0,0,0,0,0,0,0,2682,279
EUW1_7736857449,200,1,0,0,0,0,0,0,0,2670,160
EUW1_7735819537,100,0,0,0,5,0,16,0,0,50849,58107
EUW1_7735819537,200,1,4,1,9,1,32,0,3,60960,75963
EUW1_7735771649,100,1,1,1,9,1,32,0,2,66624,84774
EUW1_7735771649,200,0,2,0,5,0,21,0,1,55270,66406
EUW1_7740304204,100,0,2,0,2,0,16,0,3,53340,68051
EUW1_7740304204,200,1,2,1,11,2,33,0,0,68207,80778
EUW1_7740259861,100,0,1,0,2,0,23,0,0,54839,66665
EUW1_7740259861,200,1,3,0,9,2,32,0,3,63976,71607
EUW1_7740200559,100,0,0,0,3,0,17,0,3,54113,67790
EUW1_7740200559,200,1,4,2,10,2,38,0,0,68817,86343
EUW1_7740267149,100,0,0,0,0,0,7,0,0,31927,38431
EUW1_7740267149,200,1,0,0,4,0,31,0,3,43833,49142
EUW1_7740167649,100,1,1,0,9,1,36,0,2,67554,74522
EUW1_7740167649,200,0,3,2,6,0,28,0,1,61574,76482
EUW1_7740379322,100,0,1,0,6,1,35,0,0,72395,83491
EUW1_7740379322,200,1,3,1,12,2,44,0,3,75056,86941
EUN1_3912087884,100,0,2,0,3,0,17,0,3,48375,54260
EUN1_3912087884,200,1,1,1,8,1,38,0,0,57048,65534
EUN1_3912063660,100,1,2,1,6,1,37,0,3,59487,70917
EUN1_3912063660,200,0,2,0,3,0,27,0,0,54251,58478
EUN1_3911996824,100,0,3,2,7,1,41,0,0,86794,107286
EUN1_3911996824,200,1,4,1,9,1,51,0,3,100045,109443
EUN1_3911925122,100,0,1,1,7,0,36,0,1,68082,79657
EUN1_3911925122,200,1,4,1,11,3,40,0,2,71520,84478
NA1_5494673450,100,1,2,0,9,1,32,0,3,49358,51646
NA1_5494673450,200,0,1,0,0,0,15,0,0,37683,41904
BR1_3207626276,100,0,0,0,0,0,17,0,0,33759,36045
BR1_3207626276,200,1,1,0,3,0,40,0,3,46419,47130
BR1_3207592038,100,0,2,0,7,1,48,0,0,96044,107451
BR1_3207592038,200,1,4,2,10,3,45,0,3,98324,117569
BR1_3207565349,100,1,1,1,7,1,34,0,0,60121,71834
BR1_3207565349,200,0,2,0,3,0,24,0,3,52913,58734
BR1_3207503901,100,0,1,0,7,0,44,0,2,86583,95522
BR1_3207503901,200,1,4,3,11,1,54,0,1,89708,107425
BR1_3207479387,100,1,4,1,13,3,37,0,3,65605,74469
BR1_3207479387,200,0,0,0,3,0,26,0,0,59156,66375
BR1_3207669582,100,1,4,0,11,2,63,0,3,65290,73207
BR1_3207669582,200,0,0,0,3,0,26,0,0,55350,57670
BR1_3207632432,100,1,1,0,11,2,46,0,0,53563,51191
BR1_3207632432,200,0,0,0,0,0,15,0,3,33662,37451
BR1_3205764312,100,0,0,0,0,0,0,0,0,2672,404
BR1_3205764312,200,1,0,0,0,0,0,0,0,2638,222
BR1_3205750005,100,0,2,0,6,0,29,0,3,53093,56933
BR1_3205750005,200,1,1,1,8,1,31,0,0,60010,69881
BR1_3205676024,100,1,2,2,7,1,39,0,1,75909,89967
BR1_3205676024,200,0,3,0,6,0,36,0,2,72391,84301
BR1_3205648965,100,1,1,0,7,1,32,0,3,56487,65271
BR1_3205648965,200,0,2,0,2,0,12,0,0,43997,53777
BR1_3205639164,100,1,1,0,3,0,24,0,0,35372,35940
BR1_3205639164,200,0,0,0,0,0,5,0,0,23674,26495
BR1_3205625099,100,1,3,1,10,2,28,0,3,53578,60351
BR1_3205625099,200,0,0,0,0,0,13,0,0,38103,48605
BR1_3208101251,100,0,1,0,4,0,42,0,3,77694,85402
