match_id,participant_id,puuid,summoner_name,summoner_id,team_id,champion_id,champion_name,individual_position,rank_tier,rank_division,summoner1_id,summoner2_id,summoner1_name,summoner2_name,item0,item1,item2,item3,item4,item5,item6,win,kills,deaths,assists,gold_earned,champion_experience,total_damage_dealt_to_champions
EUW1_7729046448,4,eVsM-HbplTbFS9OTOgkt-TB0_p2zdF-vJfTKLJp8y8JkWPsVJdi5lAxI4Hv33azHrh20-IxPChPQHQ,,ulTO4h3CV-LbyrkwCsSIz4I7GPqQ6rfoSY4YH-gDXe1V5C0,100,15,Sivir,BOTTOM,UNRANKED,,4,21,,,3097,3031,3036,6675,3026,3072,3363,0,9,5,11,21580,20206,37733
EUW1_7729046448,5,dYgDZZRLVqQDh9rHszqm7KIi_ADFcKjolhRMzXjprFGK1QYTXGtva25GYwgppGdIpiTw1Ll5t3g-tQ,,Nj0AmJA2io6Ib3OvG-TK2G2n6QQ3bgEsjhAav_CEdPEKv_Y,100,161,Velkoz,SUPPORT,UNRANKED,,7,4,,,6655,3157,3108,3869,3108,3158,3364,0,4,11,16,11154,12718,23422
EUW1_7729046448,6,Q-L2mSyHqThoCq2qFQz7dgnNM3ARoVGwvEslYk-JN0L1Me2KQAdh9KgKCT3RUzXoMFv5S6NhFMGG7g,,--eTJgfjdhWvXAtGOdPWRaTAcGUnmdizO7HBQwX0OL1g9eY,200,799,Ambessa,TOP,UNRANKED,,4,12,,,3009,2517,6692,6333,3161,3026,3364,1,10,3,10,19310,24521,47722
EUW1_7729046448,7,kAjVJio1nMnTidyUrOYxOmVt0wGWsGLIrqoslGore4u2kK7EBuopFmzqMXuuKhNnJl8UHrD0XcdO6g,,Hbp67lLKpgBrpUok4-GctXvqQ6Wa1EvYkDaTJauZPIS9MKBV_rVUW3M2sA,200,246,Qiyana,JUNGLE,UNRANKED,,11,4,,,6698,3814,2055,6696,6694,3158,3364,1,6,11,9,15374,17730,29677
EUW1_7729046448,8,hSv8IzxWh1cFFC8F5wGbOP9sffIWQ32_H2lRQQ0GGEE8VhKZ1Z8jOW17MfiwCcigm4VJNncu6LF_NA,,as4zv1_pHbGLAuLkvlQ9Mc13sa6-FvB3Arf4vU85digEFfk,200,45,Veigar,MIDDLE,UNRANKED,,4,12,,,3171,2503,2065,3089,3137,3742,3363,1,10,4,13,19481,21640,48925
EUW1_7729046448,9,K0r_y7j2dlSOcr4bvhTbbKj85W-8yRbnEfLiKcbmYOhwl9l3BivHo2ZHcfXt_cTfu2INcS_6rHAjTw,,5hkC21qqyrwrgsOT-3hsU34I-ZKHgRCbwZ2HHyNZ1AvqahE,200,81,Ezreal,BOTTOM,UNRANKED,,4,21,,,2019,6694,1038,3042,6695,3078,3363,1,5,6,15,17012,18179,46580
EUW1_7729046448,10,7dN1MWllEoza28pfIt7dHkouQ_swM2eh6UXEFDUfYk2x2_FG8P5rSLYym0MSeuuVg-xO6B7HEiepnw,,o32iMb_pTJk0TxjpAnkZXFv5em2dNq4s6XrCgVP5-tSadKo,200,432,Bard,SUPPORT,UNRANKED,,4,14,,,3109,3877,3742,2524,3009,0,3364,1,3,10,16,11089,13479,14690
EUW1_7728981406,1,cqwXGJYV16id1ckU5eXH1vrhKpq1uny1UF-hPJKyL982ssFpHsV6G_-h_dE1m_nA013s35cMlZWIDw,,jiiRZchp7PBXKHXtSzWJMp7591S6UTd1J9cDyYTm0-_ayVteBSSSzIWrBQ,100,887,Gwen,TOP,UNRANKED,,12,4,,,2510,4645,3020,4630,1082,1026,3340,0,3,4,1,11121,15672,23662
EUW1_7728981406,2,QQy62b4yOnpp9F918MCuOFlQi3hDPzYAfB-PZkJG9l-IuC8pr4BOUnRlaBRT9tPxUp7TLyjHJ_g2IQ,,39j1cVJ1Y3IuP4M0DGqI_IjBp86ma4uQU8wfKv5-bdBjFfs,100,126,Jayce,JUNGLE,UNRANKED,,11,4,,,6695,3142,0,3035,3158,1036,3364,0,2,6,1,9260,9933,13663
EUW1_7728981406,3,nemSjS8e4U0_m0R4x4mFfKoRs90Bx-DcH4GaJrzbn5Pr0BVndZwkuKH8DwLE7gQW6a2XGHvJuOf-0g,,h76H1aRc5TjEczyT_vuvgVAjO2-JMVwyvU96bvlNSOybY087,100,517,Sylas,MIDDLE,UNRANKED,,4,14,,,3146,4633,3171,0,1056,1082,3340,0,2,4,1,8221,10684,12827
EUW1_7728981406,4,3OuFWFXAGvKYuK7j-yu7qXebGlqJZAk0bHfPVltMnR8oRtehb8v-R04dYEKU16pBDrRysFUhgMPeZA,,0UuvBXAzsxrcHVX4kDn5TMzEtLTeGWxyFQv3PwBPdSotUto,100,96,KogMaw,BOTTOM,UNRANKED,,4,21,,,2031,6672,3124,1043,1042,1055,3363,0,0,2,0,9122,10800,11034
EUW1_7728981406,5,XwUOX4GrwUofm7BOvECjz8pvKOgd_0V7bdaeLnc2jZlb-thfj6gPSYANmf5wyQxMbypIsgLNHt73ng,,DAiqiXzwmcy-qa3rb6i7lf7LQzDo9NaMOriROhOVEd1uD8pR,100,267,Nami,SUPPORT,UNRANKED,,4,7,,,4005,3158,3876,3108,1004,0,3364,0,0,5,1,5141,6818,3727
EUW1_7728981406,6,adsElmvF3X6KdYRBH-UAl5Y03AkgVqPr4HZb6sBz1U0yYeAw1wLvS01Yz04y4pCh5v9RYvEtm_Cn-Q,,EZ01Dt0UM2_twPaANoQQP6PJEAFY2k481vQ9k-iGCyn4yR4,200,516,Ornn,TOP,UNRANKED,,4,12,,,1054,6664,3111,2504,3076,0,3363,1,4,4,2,8636,14516,11000
EUW1_7728981406,7,OcOQl5RWepb0Mfri91xoZLD06f5kvryPUOV6OjIHqjF3-_SlFxAeMy3AuNajHWXwmQOWfP4PAaUPtA,,L3m_G2UGnmHE4eek5mOfq5DoMN_7KhP8vKaxyvElPwdmNjo,200,48,Trundle,JUNGLE,UNRANKED,,4,11,,,3078,3742,3111,3211,2022,0,3364,1,1,0,12,9612,12604,11434
EUW1_7728981406,8,2M5Eckv2p0_9M2yKReIhMtLCB60FTV6ubvK41C-q3IvGsLgPmYvP-2AG1EQtLP5gZn-o-1x2MSOj3g,,_uXf-U2ajVMiLqHA04cezgcuLcUhzS15WUEuxMtcdgORWdA,200,42,Corki,MIDDLE,UNRANKED,,4,14,,,3042,3173,1055,3078,3035,1018,3363,1,5,3,4,10390,13932,18605
EUW1_7728981406,9,dYgDZZRLVqQDh9rHszqm7KIi_ADFcKjolhRMzXjprFGK1QYTXGtva25GYwgppGdIpiTw1Ll5t3g-tQ,,Nj0AmJA2io6Ib3OvG-TK2G2n6QQ3bgEsjhAav_CEdPEKv_Y,200,161,Velkoz,BOTTOM,UNRANKED,,12,4,,,4645,2421,4628,6655,0,1082,3363,1,9,0,2,12330,12204,15851
EUW1_7728981406,10,vJ0AjX5o7Pnvs5lg25kBaSbFRT_2CHkTTcy9dDrRLs-i9Be_Zhkx5V9KCDnBssPGVgD38QuHKV1ZHw,,KuWJdsjjVrNWBRSlZoDodQh4q-Wq4eFnudG6WxgmjFvH6Ko,200,43,Karma,SUPPORT,UNRANKED,,4,7,,,3158,2065,3870,6617,3108,1004,3364,1,2,0,13,7182,8550,8823
EUW1_7728928854,1,3nLpzhtSk7LBcnURRvqoMgPeJFV7Iv-MY8_5AhnaJaY-AmXjI2TXVKMDW8_yL0nJGR3spojNLOxicg,,kQnTUZit6vaZXHxOVb-g3JnU3TphAFLsFmZ5kaTLkrqyI32JN-tENIT4DQ,100,8,Vladimir,TOP,UNRANKED,,14,4,,,4633,1058,3152,3158,1082,1056,3340,1,8,2,3,10125,12862,16485
