match_id,participant_id,slot,item_id
EUW1_7726525237,1,0,3142
EUW1_7726525237,1,1,3042
EUW1_7726525237,1,2,1036
EUW1_7726525237,1,3,1055
EUW1_7726525237,1,4,3158
EUW1_7726525237,1,5,1036
EUW1_7726525237,2,1,3084
EUW1_7726525237,2,2,3009
EUW1_7726525237,2,3,3211
EUW1_7726525237,2,4,1028
EUW1_7726525237,2,5,3742
EUW1_7726525237,3,0,2031
EUW1_7726525237,3,1,3173
EUW1_7726525237,3,2,3040
EUW1_7726525237,3,3,6657
EUW1_7726525237,3,4,1056
EUW1_7726525237,3,5,1052
EUW1_7726525237,4,0,3097
EUW1_7726525237,4,1,1055
EUW1_7726525237,4,2,1083
EUW1_7726525237,4,3,1018
EUW1_7726525237,4,4,1037
EUW1_7726525237,4,5,1038
EUW1_7726525237,5,0,3190
EUW1_7726525237,5,1,3877
EUW1_7726525237,5,2,3742
EUW1_7726525237,5,5,3158
EUW1_7726525237,6,1,3009
EUW1_7726525237,6,2,3068
EUW1_7726525237,6,3,2502
EUW1_7726525237,6,4,1057
EUW1_7726525237,6,5,1011
EUW1_7726525237,7,0,6610
EUW1_7726525237,7,1,3078
EUW1_7726525237,7,2,3026
EUW1_7726525237,7,5,2422
EUW1_7726525237,8,0,3175
EUW1_7726525237,8,1,3118
EUW1_7726525237,8,2,4645
EUW1_7726525237,8,3,1058
EUW1_7726525237,8,4,1058
EUW1_7726525237,9,0,2031
EUW1_7726525237,9,1,3097
EUW1_7726525237,9,2,3031
EUW1_7726525237,9,3,1055
EUW1_7726525237,9,4,3123
EUW1_7726525237,9,5,1036
EUW1_7726525237,10,0,3870
EUW1_7726525237,10,1,3107
EUW1_7726525237,10,2,3158
EUW1_7726525237,10,3,6617
EUW1_7726525237,10,4,1004
EUW1_7726525237,10,5,3113
EUW1_7729046448,1,0,3068
EUW1_7729046448,1,1,2502
EUW1_7729046448,1,2,3748
EUW1_7729046448,1,3,3047
EUW1_7729046448,1,4,2504
EUW1_7729046448,1,5,3076
EUW1_7729046448,2,0,3071
EUW1_7729046448,2,1,3111
EUW1_7729046448,2,2,6610
EUW1_7729046448,2,3,3053
EUW1_7729046448,2,4,3026
EUW1_7729046448,2,5,3067
EUW1_7729046448,3,0,1054
EUW1_7729046448,3,1,3157
EUW1_7729046448,3,2,1058
EUW1_7729046448,3,3,3173
EUW1_7729046448,3,4,6653
EUW1_7729046448,3,5,4633
EUW1_7729046448,4,0,3097
EUW1_7729046448,4,1,3031
EUW1_7729046448,4,2,3036
EUW1_7729046448,4,3,6675
EUW1_7729046448,4,4,3026
EUW1_7729046448,4,5,3072
EUW1_7729046448,5,0,6655
EUW1_7729046448,5,1,3157
EUW1_7729046448,5,2,3108
EUW1_7729046448,5,3,3869
EUW1_7729046448,5,4,3108
EUW1_7729046448,5,5,3158
EUW1_7729046448,6,0,3009
EUW1_7729046448,6,1,2517
EUW1_7729046448,6,2,6692
EUW1_7729046448,6,3,6333
EUW1_7729046448,6,4,3161
EUW1_7729046448,6,5,3026
EUW1_7729046448,7,0,6698
EUW1_7729046448,7,1,3814
EUW1_7729046448,7,2,2055
EUW1_7729046448,7,3,6696
EUW1_7729046448,7,4,6694
EUW1_7729046448,7,5,3158
EUW1_7729046448,8,0,3171
EUW1_7729046448,8,1,2503
EUW1_7729046448,8,2,2065
EUW1_7729046448,8,3,3089
EUW1_7729046448,8,4,3137
EUW1_7729046448,8,5,3742
EUW1_7729046448,9,0,2019
EUW1_7729046448,9,1,6694
EUW1_7729046448,9,2,1038
EUW1_7729046448,9,3,3042
EUW1_7729046448,9,4,6695
EUW1_7729046448,9,5,3078
EUW1_7729046448,10,0,3109
EUW1_7729046448,10,1,3877
EUW1_7729046448,10,2,3742
EUW1_7729046448,10,3,2524
EUW1_7729046448,10,4,3009
EUW1_7728981406,1,0,2510
EUW1_7728981406,1,1,4645
EUW1_7728981406,1,2,3020
EUW1_7728981406,1,3,4630
EUW1_7728981406,1,4,1082
EUW1_7728981406,1,5,1026
EUW1_7728981406,2,0,6695
EUW1_7728981406,2,1,3142
EUW1_7728981406,2,3,3035
EUW1_7728981406,2,4,3158
EUW1_7728981406,2,5,1036
EUW1_7728981406,3,0,3146
EUW1_7728981406,3,1,4633
EUW1_7728981406,3,2,3171
EUW1_7728981406,3,4,1056
EUW1_7728981406,3,5,1082
EUW1_7728981406,4,0,2031
